length,width,ratio,petiole_length,angle,species
10.5,5.8,1.81,0.4,63,creamColour_ixora
11.2,6.6,1.7,0.2,72,creamColour_ixora
11.7,6.2,1.89,0.3,71,creamColour_ixora
10.2,5.3,1.92,0.3,68,creamColour_ixora
12.9,7.4,1.74,1.6,62,jackfruit
13.3,7.6,1.75,1.7,65,jackfruit
10.7,6.7,1.6,1.3,60,jackfruit
14.4,6.4,2.25,1.6,62,jackfruit
13.3,7.2,1.85,1.9,63,jackfruit
15.4,8.5,1.81,1.6,67,jackfruit
14.7,7.7,1.91,2.1,65,jackfruit
14.1,8.1,1.74,1.9,60,jackfruit
12.8,6.4,2,1.5,60,jackfruit
16.6,9.1,1.82,2.5,65,jackfruit
